"	datetime	price",,,,
"235	2021-10-16T08:00:00.000Z	36.0",,,,
"236	2021-10-16T16:00:00.000Z	35.45",,,,
"237	2021-10-17T00:00:00.000Z	35.1",,,,
"238	2021-10-17T08:00:00.000Z	35.55",,,,
"239	2021-10-17T16:00:00.000Z	36.0",,,,
"240	2021-10-18T00:00:00.000Z	35.9779",,,,
"241	2021-10-18T08:00:00.000Z	35.69",,,,
"242	2021-10-18T16:00:00.000Z	35.4288",,,,
"243	2021-10-19T00:00:00.000Z	35.68",,,,
"244	2021-10-19T08:00:00.000Z	35.4933",,,,
"245	2021-10-19T16:00:00.000Z	34.8338",,,,
"246	2021-10-20T00:00:00.000Z	35.9824",,,,
"247	2021-10-20T08:00:00.000Z	35.9475",,,,
"248	2021-10-20T16:00:00.000Z	35.355",,,,
"249	2021-10-21T00:00:00.000Z	33.5331",,,,
"250	2021-10-21T08:00:00.000Z	31.2143",,,,
"251	2021-10-21T16:00:00.000Z	28.875",,,,
"252	2021-10-22T00:00:00.000Z	28.4118",,,,
"253	2021-10-22T08:00:00.000Z	28.7778",,,,
"254	2021-10-22T16:00:00.000Z	29.0",,,,
"255	2021-10-23T00:00:00.000Z	30.88",,,,
"256	2021-10-23T08:00:00.000Z	33.4",,,,
"257	2021-10-23T16:00:00.000Z	34.8",,,,
"258	2021-10-24T00:00:00.000Z	34.8",,,,
"259	2021-10-24T08:00:00.000Z	34.96",,,,
"260	2021-10-24T16:00:00.000Z	34.96",,,,
"261	2021-10-25T00:00:00.000Z	34.96",,,,
"262	2021-10-25T08:00:00.000Z	34.96",,,,
"263	2021-10-25T16:00:00.000Z	34.96",,,,
"264	2021-10-26T00:00:00.000Z	34.96",,,,
"265	2021-10-26T08:00:00.000Z	34.96",,,,
"266	2021-10-26T16:00:00.000Z	35.1508",,,,
"267	2021-10-27T00:00:00.000Z	36.0",,,,
"268	2021-10-27T08:00:00.000Z	35.9929",,,,
"269	2021-10-27T16:00:00.000Z	36.0",,,,
"270	2021-10-28T00:00:00.000Z	35.9778",,,,
"271	2021-10-28T08:00:00.000Z	35.19",,,,
"272	2021-10-28T16:00:00.000Z	35.0",,,,
"273	2021-10-29T00:00:00.000Z	35.816",,,,
"274	2021-10-29T08:00:00.000Z	35.7644",,,,
"275	2021-10-29T16:00:00.000Z	35.73",,,,
"276	2021-10-30T00:00:00.000Z	35.65",,,,
"277	2021-10-30T08:00:00.000Z	35.29",,,,
"278	2021-10-30T16:00:00.000Z	35.2578",,,,
"279	2021-10-31T00:00:00.000Z	34.9988",,,,
"280	2021-10-31T08:00:00.000Z	34.3538",,,,
"281	2021-10-31T16:00:00.000Z	34.2988",,,,
"282	2021-11-01T00:00:00.000Z	34.0",,,,
"283	2021-11-01T08:00:00.000Z	33.6667",,,,
"284	2021-11-01T16:00:00.000Z	34.5818",,,,
"285	2021-11-02T00:00:00.000Z	34.6125",,,,
"286	2021-11-02T08:00:00.000Z	34.5",,,,
"287	2021-11-02T16:00:00.000Z	34.2222",,,,
"288	2021-11-03T00:00:00.000Z	34.0",,,,
"289	2021-11-03T08:00:00.000Z	32.7236",,,,
"290	2021-11-03T16:00:00.000Z	32.5633",,,,
"291	2021-11-04T00:00:00.000Z	31.7998",,,,
"292	2021-11-04T08:00:00.000Z	32.0125",,,,
"293	2021-11-04T16:00:00.000Z	32.4444",,,,
"294	2021-11-05T00:00:00.000Z	32.0",,,,
"295	2021-11-05T08:00:00.000Z	31.75",,,,
"296	2021-11-05T16:00:00.000Z	31.0",,,,
"297	2021-11-06T00:00:00.000Z	30.5556",,,,
"298	2021-11-06T08:00:00.000Z	31.0",,,,
"299	2021-11-06T16:00:00.000Z	31.0375",,,,
"300	2021-11-07T00:00:00.000Z	30.5",,,,
"301	2021-11-07T08:00:00.000Z	30.5",,,,
"302	2021-11-07T16:00:00.000Z	31.2125",,,,
"303	2021-11-08T00:00:00.000Z	32.55",,,,
"304	2021-11-08T08:00:00.000Z	33.0",,,,
"305	2021-11-08T16:00:00.000Z	33.0",,,,
"306	2021-11-09T00:00:00.000Z	32.5889",,,,
"307	2021-11-09T08:00:00.000Z	31.8778",,,,
"308	2021-11-09T16:00:00.000Z	31.0622",,,,
"309	2021-11-10T00:00:00.000Z	30.995",,,,
"310	2021-11-10T08:00:00.000Z	31.3992",,,,
"311	2021-11-10T16:00:00.000Z	31.6451",,,,
"312	2021-11-11T00:00:00.000Z	30.4667",,,,
"313	2021-11-11T08:00:00.000Z	30.8682",,,,
"314	2021-11-11T16:00:00.000Z	32.0",,,,
"315	2021-11-12T00:00:00.000Z	32.64",,,,
"316	2021-11-12T08:00:00.000Z	32.8",,,,
"317	2021-11-12T16:00:00.000Z	32.8",,,,
"318	2021-11-13T00:00:00.000Z	33.1125",,,,
"319	2021-11-13T08:00:00.000Z	34.325",,,,
"320	2021-11-13T16:00:00.000Z	35.553",,,,
"321	2021-11-14T00:00:00.000Z	39.435",,,,
"322	2021-11-14T08:00:00.000Z	41.625",,,,
"323	2021-11-14T16:00:00.000Z	42.02",,,,
"324	2021-11-15T00:00:00.000Z	41.684",,,,
"325	2021-11-15T08:00:00.000Z	41.0667",,,,
"326	2021-11-15T16:00:00.000Z	41.9875",,,,
"327	2021-11-16T00:00:00.000Z	42.673",,,,
"328	2021-11-16T08:00:00.000Z	44.8667",,,,
"329	2021-11-16T16:00:00.000Z	46.89",,,,
"330	2021-11-17T00:00:00.000Z	47.95",,,,
"331	2021-11-17T08:00:00.000Z	49.9444",,,,
"332	2021-11-17T16:00:00.000Z	50.0",,,,
"333	2021-11-18T00:00:00.000Z	50.7756",,,,
"334	2021-11-18T08:00:00.000Z	51.0",,,,
"335	2021-11-18T16:00:00.000Z	51.0",,,,
"336	2021-11-19T00:00:00.000Z	51.1775",,,,
"337	2021-11-19T08:00:00.000Z	52.42",,,,
"338	2021-11-19T16:00:00.000Z	52.604",,,,
"339	2021-11-20T00:00:00.000Z	50.5018",,,,
"340	2021-11-20T08:00:00.000Z	48.8461",,,,
"341	2021-11-20T16:00:00.000Z	49.0",,,,
"342	2021-11-21T00:00:00.000Z	47.1367",,,,
"343	2021-11-21T08:00:00.000Z	46.932",,,,
"344	2021-11-21T16:00:00.000Z	46.6788",,,,
"345	2021-11-22T00:00:00.000Z	43.8252",,,,
"346	2021-11-22T08:00:00.000Z	42.0",,,,
